CustomerKey,ProductKey,OrderQuantity,OrderDate,PromotionKey,UnitPrice,TaxAmt,Total Sales,SalesTerritoryKey
11003,346,2,1/1/2015 0:00,1,"$1,700.00 ",$272.00 ,"$3,672 ",9
14501,336,2,1/1/2015 0:00,1,$349.55 ,$55.93 ,$755 ,4
21768,310,2,1/1/2015 0:00,1,"$1,789.14 ",$286.26 ,"$3,865 ",6
25863,346,2,1/1/2015 0:00,1,"$1,700.00 ",$272.00 ,"$3,672 ",1
28389,346,2,1/1/2015 0:00,1,"$1,700.00 ",$272.00 ,"$3,672 ",7
11005,351,4,1/2/2015 0:00,1,$843.75 ,$270.00 ,"$3,645 ",9
11011,344,4,1/2/2015 0:00,1,$850.00 ,$272.00 ,"$3,672 ",9
16624,310,4,1/2/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",9
27645,311,4,1/2/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",4
16351,313,1,1/3/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
16517,314,1,1/3/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
20042,330,1,1/3/2015 0:00,1,$699.10 ,$55.93 ,$755 ,10
27616,312,1,1/3/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",4
27621,312,1,1/3/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",4
13513,311,1,1/4/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",8
27606,314,1,1/4/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",1
13591,311,1,1/5/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",10
16483,314,1,1/5/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
16529,311,1,1/5/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
25249,336,1,1/5/2015 0:00,1,$699.10 ,$55.93 ,$755 ,9
27601,310,1,1/5/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",4
13264,311,1,1/6/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",8
13590,310,1,1/6/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",10
27612,312,1,1/6/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",4
27668,311,1,1/6/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",1
13581,312,1,1/7/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",10
14520,332,1,1/7/2015 0:00,1,$699.10 ,$55.93 ,$755 ,1
16520,311,1,1/7/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
13258,311,2,1/8/2015 0:00,1,"$1,789.14 ",$286.26 ,"$3,865 ",8
14560,332,2,1/8/2015 0:00,1,$349.55 ,$55.93 ,$755 ,4
16607,311,2,1/8/2015 0:00,1,"$1,789.14 ",$286.26 ,"$3,865 ",9
11025,350,4,1/9/2015 0:00,1,$843.75 ,$270.00 ,"$3,645 ",9
11238,346,4,1/9/2015 0:00,1,$850.00 ,$272.00 ,"$3,672 ",10
16629,314,4,1/9/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",9
25861,346,4,1/9/2015 0:00,1,$850.00 ,$272.00 ,"$3,672 ",4
27577,312,4,1/9/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",1
27666,313,4,1/9/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",4
11002,346,1,1/10/2015 0:00,1,"$3,399.99 ",$272.00 ,"$3,672 ",9
16522,310,1,1/10/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
27604,312,1,1/10/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",1
11606,312,1,1/11/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",7
13261,311,1,1/11/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",8
13563,310,1,1/11/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",10
16527,312,1,1/11/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
11007,347,1,1/12/2015 0:00,1,"$3,399.99 ",$272.00 ,"$3,672 ",9
13576,314,1,1/12/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",10
16631,313,1,1/12/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
27671,310,1,1/12/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",1
16514,311,1,1/13/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
16616,312,1,1/13/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
11591,311,1,1/14/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",7
11592,313,1,1/14/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",7
13265,311,1,1/14/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",8
16482,310,1,1/14/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
27623,314,1,1/14/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",4
27625,313,1,1/14/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",1
27636,314,1,1/14/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",1
11017,350,2,1/15/2015 0:00,1,"$1,687.50 ",$270.00 ,"$3,645 ",9
19941,332,2,1/15/2015 0:00,1,$349.55 ,$55.93 ,$755 ,10
27617,312,2,1/15/2015 0:00,1,"$1,789.14 ",$286.26 ,"$3,865 ",1
27670,311,2,1/15/2015 0:00,1,"$1,789.14 ",$286.26 ,"$3,865 ",4
13257,310,4,1/16/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",8
16352,314,4,1/16/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",9
16493,310,4,1/16/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",9
27646,310,4,1/16/2015 0:00,1,$894.57 ,$286.26 ,"$3,865 ",4
11010,346,1,1/17/2015 0:00,1,"$3,399.99 ",$272.00 ,"$3,672 ",9
16525,313,1,1/17/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
16612,310,1,1/17/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
27578,314,1,1/17/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",4
11001,350,1,1/18/2015 0:00,1,"$3,374.99 ",$270.00 ,"$3,645 ",9
16518,313,1,1/18/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
11027,347,1,1/19/2015 0:00,1,"$3,399.99 ",$272.00 ,"$3,672 ",9
14559,330,1,1/19/2015 0:00,1,$699.10 ,$55.93 ,$755 ,4
16348,313,1,1/19/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
16524,312,1,1/19/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
16526,314,1,1/19/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
21659,312,1,1/19/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",6
27614,312,1,1/19/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",1
27649,312,1,1/19/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",1
11018,345,1,1/20/2015 0:00,1,"$3,399.99 ",$272.00 ,"$3,672 ",9
13260,314,1,1/20/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",8
16515,311,1,1/20/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
25252,326,1,1/20/2015 0:00,1,$699.10 ,$55.93 ,$755 ,9
11599,311,1,1/21/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",7
16495,312,1,1/21/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
16516,312,1,1/21/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
16620,312,1,1/21/2015 0:00,1,"$3,578.27 ",$286.26 ,"$3,865 ",9
11000,344,2,1/22/2015 0:00,1,"$1,700.00 ",$272.00 ,"$3,672 ",9
